Frequency of publication of gender-related content by respondents' newsrooms in Senegal,
,
Reporting Frequency,Percentage
Less than 5 times,60%
Between 5 and 10 times,28%
Between 10 and 15 times,5%
More than 15 times,4%
No idea,1%
0 times,2%
It depends on the importance of the subject,1%
