 Burkinabè respondents' professional role in the media ecosystem,,
,,
,,
Role,Female,Male
Editor,13.2%,7.7%
Presenter,5.7%,0.0%
Intern,3.8%,0.0%
Journalist,66.0%,56.4%
Media Director,1.9%,7.7%
Media owner,5.7%,15.4%
Correspondent,3.8%,2.6%
Technician,0.0%,5.1%
Trainer,0.0%,5.1%
*Note: Male and female respondents' roles were analysed independently.,,
