 Senegalese respondents' professional role in the media ecosystem,,
,,
,,
Role,Female,Male
Editor,6.7%,12.9%
Presenter,2.7%,3.2%
Journalist,80.0%,80.6%
Media owner,2.7%,3.2%
Radio director,1.3%,0.0%
Correspondent,4.0%,0.0%
Technician,2.7%,0.0%
*Note: Male and female respondents' roles were analysed independently.,,
