Source: ,"DHS Comparative Reports 50, 2021",,
,,,
This dataset contains information on the Secondary Infertility Trends in Senegal from 1997-2018.,,,
,,,
Year,Secondary Infertility Rate (%),Confidence Interval,Sample Size
1997,4.2,"[2.6, 6.7]",554
2005,7.8,"[5.0, 12.0]",953
2012-13,3.6,"[2.2, 5.9]",487
2018,6.8,"[3.9, 11.5]",425
