"Source: HPV Information Centre, 2023",,,
,,,
Cervical cancer incidence in Tanzania,,,
,,,
Indicator,Tanzania ,Eastern Africa ,World
Annual number of new cancer cases ,"10,241","54,560","604,127"
Annual number of deaths,"6,525","36,497","341,831"
