Source:,P1,,,
,B.1.351,,,
,B.1.1.70,,,
,,,,
,,,,
,,,,
,,,,
Strain,P1 (Gamma),B.1.351 (Beta),B.1.1.70 (Alpha),B.1.617.2 (Delta)
First Detected,Brazil,South Africa,United Kingdom,India
Earrliest sample date,"November 30, 2020","September 1, 2020","September 20, 2020","September 7, 2020"
Countries Reported,60,95,150,80
Sequence count (number of mutations),"40,170","22,813","896,015","97,374"
