Source: ,"UNHCR, 2020"
,
This dataset contains information on Refugee COVID-19 Cases and recoveries in Uganda as of July 2020.,
,
,Statistics
Total COVID-19 Cases in Uganda,800+
COVID-19 Cases Among Refugees,52
Recovered Refugee Cases,52
