Source: ,"Uganda Blood Transfusion Services (UBTS), 2020"
,
This dataset contains information on the Blood Bank Infrastructure in Uganda in 2020.,
,
,Number
Regional Blood Banks,6
Collection & Distribution Sites,7
Regions Without Blood Banks,Karamoja region (North East)
