Source:,https://africacdc.org/download/covid-19-vaccine-perceptions-a-15-country-study/,
,,
Trusted information sources on COVID-19 vaccine,,
Source,Nigeria,Africa
Radio,69%,51%
Social Media,39%,29%
Government Sources,8%,18%
Healthcare Authorities,14%,23%
