"Source: HPV Information Centre, 2023",,,
,,,
Cervical cancer incidence and mortality in Kenya,,,
,,,
Indicator ,Kenya ,Eastern Africa ,World
Annual number of new cervical cancer cases,5236,"54,560","604,127"
Annual number of deaths,"3,211","36,497","341,831"
