Source:,https://covid19.healthdata.org/kenya?view=resource-use&tab=trend&resource=all_resources
,
Date,All Beds (Average Estimate)
9/28/2020,1114.381
9/29/2020,1101.933
9/30/2020,1093.221
10/1/2020,1089.401
10/2/2020,1084.686
10/3/2020,1082.351
10/4/2020,1067.261
10/5/2020,1089.698
10/6/2020,1097.249
10/7/2020,1130.993
10/8/2020,1167.651
10/9/2020,1205.631
10/10/2020,1245.465
10/11/2020,1292.722
10/12/2020,1349.518
10/13/2020,1390.35
10/14/2020,1434.444
10/15/2020,1480.341
10/16/2020,1529.542
10/17/2020,1582.05
10/18/2020,1637.872
10/19/2020,1697
10/20/2020,1759.402
10/21/2020,1825.214
10/22/2020,1894.279
10/23/2020,1966.62
10/24/2020,2042.296
10/25/2020,2121.356
10/26/2020,2203.82
10/27/2020,2289.712
10/28/2020,2379.064
10/29/2020,2473.026
10/30/2020,2570.524
10/31/2020,2671.622
11/1/2020,2776.332
11/2/2020,2884.621
11/3/2020,2996.482
11/4/2020,3112.123
11/5/2020,3231.321
11/6/2020,3354.062
11/7/2020,3480.347
11/8/2020,3610.157
11/9/2020,3743.443
11/10/2020,3880.164
11/11/2020,4020.282
11/12/2020,4163.751
11/13/2020,4310.525
11/14/2020,4460.575
11/15/2020,4613.849
11/16/2020,4770.255
11/17/2020,4929.701
11/18/2020,5092.104
11/19/2020,5257.371
11/20/2020,5425.412
11/21/2020,5596.161
11/22/2020,5769.528
11/23/2020,5945.381
11/24/2020,6123.593
11/25/2020,6304.053
11/26/2020,6486.696
11/27/2020,6671.547
11/28/2020,6858.704
11/29/2020,7048.254
11/30/2020,7240.257
12/1/2020,7434.882
12/2/2020,7632.419
12/3/2020,7833.19
12/4/2020,8037.416
12/5/2020,8245.262
12/6/2020,8456.899
12/7/2020,8672.462
12/8/2020,8892.084
12/9/2020,9115.918
12/10/2020,9344.076
12/11/2020,9576.627
12/12/2020,9813.639
12/13/2020,10055.17
12/14/2020,10301.22
12/15/2020,10551.71
12/16/2020,10806.49
12/17/2020,11065.32
12/18/2020,11328.04
12/19/2020,11594.61
12/20/2020,11864.94
12/21/2020,12138.86
12/22/2020,12416.2
12/23/2020,12695.81
12/24/2020,12977.42
