Source:,https://www.mofa.gov.gh/site/images/pdf/AGRIC%20IN%20GHANA%20F&F_2018.pdf,
,2020 Comprehensive Food Security and Vulnerability Analysis | World Food Programme (wfp.org),
Maize Production in Ghana,,
,,
,,
Top 5 Regions,Percentage of Total Production (over a 3yr ave. 2016-18),Food Insecurity Ranking (2020)
Eastern,22.34%,12
Brong Ahafo,21.41%,6
Ashanti,12.81%,13
Northern,10.99%,3
Central,10.30%,15
