Source:,05_20232022_Statistical_Abstract.pdf (ubos.org)
,Explorer Publications by Sector - Uganda Bureau of Statistics (ubos.org)
,
,
Year,Forest Area (%) of total land area
2015,12.7%
2016,12.5%
2017,12.3%
2018,12.1%
2019,11.9%
2020,11.7%
