Source: ,"World Food Programme (WFP), 2020"
,
This dataset contains information on the Gendered Impact of COVID-19 in Uganda as of July 2020.,
,
,Percentage
Women-Headed Households Impacted,74%
Men-Headed Households Impacted,63%
