Source:,TikTok,,,,
Link:,https://www.tiktok.com/,,,,
,,,,,
This dataset contains information on three TikTok pages that create AI microdramas about the widely popular humanized fruits.,,,,,
,,,,,
TikTok page,Average views,Average likes,Average comments,Average shares,Average engagement rate
voyageemotion,"3,048,280","108,884",400,"3,830",3.90%
aidramalabs.anime,"20,569,906","499,120","6,130","38,621",2.99%
aidramalabs_anime2,"72,739,018","2,005,759","9,211","189,077",3.11%
