Source:,05_20232022_Statistical_Abstract.pdf (ubos.org)
,Explorer Publications by Sector - Uganda Bureau of Statistics (ubos.org)
,
"Percentage Share of Land Cover by type, for Uganda 2019",
,
Type of Land Cover,Percentage
Forestry,11%
Bushland,1%
Grassland,23%
Wetland,4%
Agriculture,45%
Open Water,15%
Others,1%
