Source:,"Kenya Bankers Association, 2021"
,https://www.kba.co.ke/wp-content/uploads/2022/05/MSMEs-Survey-Report.pdf
,
This dataset contains information on the gender distribution of MSME owners in Kenya as of 2021.,
,
Gender,MSME Owners (%)
Male,77.1
Female,22.9
