Source:,National Marine Fisheries Service (NOAA)
,
This dataset contains information on Fish Consumption in Ghana in 2011.,
,
Primary Source of Animal Protein,Fish
Per Capita Annual Fish Consumption,27.3 kg
Percentage of Animal Protein from Fish,60%
