Source:,"Deeptrace Labs, 2019"
Link:,https://regmedia.co.uk/2019/10/08/deepfake_report.pdf
Source:,"DeepStrike, 2025"
Link:,https://deepstrike.io/blog/deepfake-statistics-2025
,
This dataset contains information on the number of deepfakes on the internet from 2018-2025.,
,
,Number of Deepfakes
2018,"7,964"
2019,"14,678"
2023,"500,000"
2025,"8,000,000"
