Source:,https://www.mofa.gov.gh/site/images/pdf/AGRIC%20IN%20GHANA%20F&F_2018.pdf,
,2020 Comprehensive Food Security and Vulnerability Analysis | World Food Programme (wfp.org),
,,
Yam Production in Ghana,,
,,
Top 5 Regions,Percentage of Total Production (over a 3yr ave. 2016-18),Food Insecurity Ranking (2020)
Brong Ahafo,32.66%,6
Northern,31.05%,3
Eastern,11.35%,12
Upper West,8.66%,4
Volta,7.44%,10
