Source:,https://www.ilo.org/wcmsp5/groups/public/@dgreports/@dcomm/documents/briefingnote/wcms_749399.pdf,
,,
Working-Hour Losses (relative to 2019 Q4),,
,2020 Q1,2020 Q2
Africa,2.40%,12.10%
,,
,,
No current unemployment databut this serves as a proxy,,
