Source: ,"Global Schools Forum, 2020"
,
This dataset contains information on Private Sector Teacher Income & Employment during COVID-19 in Ghana in 2020.,
,
,Statistics
Total Teachers in Ghana (Creche to JHS),"365,618 (EMIS Data 2017/2018)"
Percentage in Private Schools,33.50%
Private School Teachers with Salary Drop (Sub-Saharan Africa),50% (15% of total teachers)
