Source: ,"UNHCR, 2020"
,
This dataset contains information on Refugee Employment & Income in Uganda as of May 2020.,
,
,Percentage
Refugees in Salaried Employment,3%
Refugees Self-Employed (15+ years),13%
Households Engaged in Informal Trade,20%
Households Selling Food Rations as Main Income Source,25%
Households Without Cash Earners,66%
Households with One Cash Earner,24%
Households with Two or More Cash Earners,5%
