"Source: Media Council of Tanzania, 2019",
,
Position of Tanzanian women in their media organization,
,
Position,Percentage
Reporter,67.5%
Senior Reporter,20.0%
"Line Editor (News, Features, Sports, Business)",5.0%
Camera woman,2.5%
Assistant Marketing Manager,2.5%
