Source: ,,,,,,,,,
,,,,,,,,,
This dataset contains information on the percentage Distribution of the employed Population by Industry in Uganda 2016-2021.,,,,,,,,,
,,,,,,,,,
,NLFS 2016/17,,,UNHS 2019/20,,,NLFS 2021,,
Industry of main job,Male,Female,National,Male,Female,National,Male,Female,National
Human health and social work activities,1.3,1.9,1.6,1.4,2.2,1.7,1.9,2.7,2.2
