Source: ,"Aga Khan University, 2024",,
,,,
"This dataset contains information on Women in Media Workforce, Women in Editorial Leadership and Women in Media Business Leadership in Uganda, Tanzania, Kenya and Globally in 2024.",,,
,,,
Region,Women in Media Workforce (%),Women in Editorial Leadership (%),Women in Media Business Leadership (%)
Global,36%,N/A,N/A
East Africa,42%,Varies,20%
Tanzania,46%,40%,20%
Uganda,44%,33%,20%
Kenya,39.50%,11%,10%
