Source:,"Media Council of Kenya, 2025"
Link:,https://mediacouncil.or.ke/sites/default/files/downloads/ASSESMENT%20OF%20MEDIA%20ENVIRONMENT%20IN%20KENYA%202025.pdf
,
"This dataset contains information on the gender distribution of accredited journalists in Kenya, 2024.",
,
,Accredited Journalists (%)
Male,57.6
Female,42.4
,
,Journalists (%)
Freelance,23
Permanent Employment,77
