Source: ,"WIEGO, 2022"
,
This dataset contains information on domestic workers working more than 48 hours per week 7 days per week in Uganda 2022.,
,
,Percentage
Survey respondents under the age of 18,44%
Survey respondents working more than 48 hours per week,66%
Survey respondents working 7 days per week,50%
