Source: ,"Uganda Bureau of Statistics, 2021"
,
This dataset contains information on Informal employment by gender in Uganda in 2021.,
,
,Percentage
Women in informal employment (2021),91.20%
Women in informal employment (2019/20),90.60%
Informal employment in urban areas (including Kampala),86.80%
Women engaged in informal employment in urban areas,94%
Men engaged in informal employment in urban areas,90.30%
