Source: ,"African Centre for Media Excellence, 2021"
,
This dataset contains information on the salary range of journalists in UGX in Uganda in 2021.,
,
Salary Range (UGX),Percentage of Journalists
"Shs 250,000 - 500,000 ($70 - $140)",33%
"Shs 1,000,000 or less ($280 or less)",Majority
"Shs 2,000,000+ ($560 or more)",Less than 10%
