Source:,GHS 2020 Addendum Tables XLS
,2019
,2018
,2017
,2016
,
,"Number of children aged 0-4, attending an educational institution (day care centre, crèche, early childhood development centre (ECD), playgroup, nursery school or pre-primary school)- In Millions"
2016,1.799
2017,2.08
2018,2.159
2019,2.135
2020,1.392
