Source:,"The DHS Program - Nigeria: DHS, 2018 - Final Report (English)"
,
,
Year,Net primary school attendance rate (Female)
2018 DHS,58.8%
2013 DHS,56.7%
2008 DHS,59.1%
2003 DHS,56.2%
