Source: ,"Uganda Bureau of Statistics, 2021"
,
This dataset contains information on the Working-age population (18-30 years) engaged in informal work in Uganda in 2021.,
,
,Percentage
Working-age population (18-30 years) engaged in informal work,39.8%
