Source: ,"Nigeria Bureau of Statistics (NBS), 2020",
,,
This dataset contains information on the number of reported rape cases acording to different reports in Nigeria in 2017.,,
,,
REPORT,PAGE,REPORTED RAPE CASES
Annual Statistical abstract,439,2278
NBS 2020 Social statistics,27,1075
Statistics on Women & Men,53,26
