Source: ,"UN, 2023"
,
This dataset contains information on the Albinism Prevalence by Region as of 2024.,
,
Region,Prevalence Rate
North America,"1 in 17,000 - 20,000"
Europe,"1 in 17,000 - 20,000"
Tanzania,"1 in 1,400"
Zimbabwe (select populations),"1 in 1,000"
Southern Africa (specific ethnic groups),"1 in 1,000"
