Source:,https://displacement.iom.int/datasets/nigeria-—-baseline-assessment-—-round-33,
,Data as August,
,,
Displacement Reason,Number of IDPs,Percentage Relative to Total IDPs
Insurgency,"1,939,798.00",92%
Clashes,"158,408.00",7%
Natural Disaster,"20,344.00",1%
Total Number of IDPs,"2,118,550.00",
