Source: ,"UNHCR, 2020"
,
This dataset contains information on Refugees in Uganda as of February 2020.,
,
,Statistics
Total Refugees in Uganda,1.4 million
South Sudanese Share of Refugees,65%+
Total Refugees as of Feb 2020,"1,400,000"
