Source:,"Kenya Demographic and Health Surveys, 2022",
Link:,https://www.knbs.or.ke/reports/kdhs-2022/,
,,
This dataset contains information on rate of internet use by sex inKenya 2022.,,
,,
Internet use,Women (%),Men (%)
Ever used the internet,48,60
Used the internet in the last 12 months,44,56
