Source: ,"International Organization for Migration, 2019",
Gender Differences in Youth Migration Rates in Senegal 2018,,
"This dataset contains information on the migration rates of young Senegalese men and women, highlighting age-specific trends and gender disparities in 2018.",,
,,
Age Group,Women (%),Men (%)
15-19,9.60%,8.20%
20-24,11.60%,10.10%
25-29,12%,11.30%
