Source: ,"GIZ, 2021 & Glorious Sport, 2022"
,
This dataset contains information on the milestones achieved by Women Surfing in Senegal as of 2024.,
,
Year,Milestone
2006,Khadjou Sambe begins surfing at age 13.
2014,"Black Girls Surf founded, with programs established in Senegal."
2022,Ngor program reports 43 girls enrolled.
