Source: ,"UNICEF, 2020",
,,
This dataset contains information on orphaned children in Uganda as of 2020.,,
,,
Category,Number of Children (millions),Percentage
Total children below 18 years,19.2,
Orphaned children,2.9,8.4
Critically or moderately vulnerable children,8.1,51
Children living with caregivers other than biological parents,,63
Children experiencing some level of vulnerability,,96
