Source: ,"UNICEF, 2021"
,
This dataset contains information on Pregnancy Timing Among Child Brides in Ghana 2021.,
,
,Percentage (%)
Pregnancy before marriage,22%
Pregnancy within 1 year of marriage,30%
Pregnancy after 1 year of marriage,43%
Never gave birth but currently pregnant,5%
Never gave birth nor currently pregnant,0.40%
