Source:,"The DHS Program - Nigeria: DHS, 2018 - Final Report (English)"
,
,
,
Survey,Women first married by exact age 15 (women aged 25-49)
2018,18.5%
2013,23.8%
2008,23.5%
2003,34.6%
1990,28.4%
