Source,https://openafrica.net/sv/dataset/dsvrt-stats-on-domestic-sexual-violence-january-december-2019,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Gender,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
Female,130,135,129,154,132,121,158,171,129,112,130,98
Male,148,111,141,140,149,130,167,147,122,141,103,149
