Source:,http://www.togetherforgirls.org/wp-content/uploads/2014-Nigeria-VACS-Report-1.pdf,
,,
Percent of Females and Males Aged 18-24 Years Who Reported Sexual Violence Prior to Age 18,,
,,
Country,Females,Males
Nigeria,25%,11%
Kenya,32%,18%
Tanzania,27%,12%
Zimbabwe,33%,9%
Malawi,22%,15%
,,
,,
Note:,Data is dated 2014,
