Source: ,2021 Kenya Time Use Survey,
,https://www.knbs.or.ke/wp-content/uploads/2023/10/Kenya-Time-Use-Survey-2021_1.pdf,
,,
This dataset contains information on the number of hours per day spent by men and women on paid and unpaid work in Kenya 2021.,,
,,
Broad Activity,Male (hrs),Female (hrs)
Paid Work & Market Activities,5.9,3.3
Unpaid Care & Domestic Work,1,4.7
Learning,0.9,0.7
Sleep,8,8
Other Non-Productive Activities,8.2,7.2
Total,24,24
