Source: ,"Comité Interministériel de Lutte Contre la Migration Irrégulière (CILMI), 2024",
Canoe Departures from Senegal to Canary Islands 2024,,
"This dataset contains information on the monthly breakdown of the number of pirogue departures from Senegal to the Canary Islands in 2024, detailing the total boats and migrant numbers.",,
Month,Number of Boats,Migrants
January,108,"7,186"
February,72,"4,746"
March,20,"1,144"
April,41,"2,786"
May,18,"1,180"
June,35,"2,218"
