Source: ,"Inter-parliamentary Union Parline, 2024",,
,,,
This dataset contains information on the distribution of seats in parliament by gender in Uganda 2001-2021,,,
,,,
Election Year,Men,Women,Percentage of Women (%)
2001,230,75,25
2006,233,99,29.73
2011,244,131,34.93
2016,296,153,34.1
2021,368,188,33.8
