Source: ,"Inter-parliamentary Union Parline, 2024",,
,,,
This dataset contains information on the age and gender distributions of the members of parliament as per the 2021 general election in Uganda.,,,
,,,
Age Category,Overall (%),Male (%),Female (%)
MPs 30 years of age or younger,2.30%,3.80%,1.50%
MPs 40 years of age or younger,9.80%,24.30%,15.00%
MPs 45 years of age or younger,18.20%,48.50%,30.00%
