Source: ,"AFRREV IJAH: An International Journal of Arts and Humanities, 2018",
,,
This dataset contains information on Nigerians' motivation for jungle justice 2018.,,
,,
Reason,Frequency,Percentage (%)
Illiteracy,25,4%
Chronic anger due to economic situation,40,7%
Flaccid court system,95,15%
Disregard for the rule of law and human rights,28,5%
Lack of trust in the police,100,16%
All reasons stated above,327,53%
Total,615,100%
