Source:,https://afrobarometer.org/online-data-analysis/analyse-online,,,,
,,,,,
"Thinking about the last national election in 2013, did you: Attend a campaign rally ?",,,,,
Attended A Rally,Average,Burkina,C̫te d'Ivoire,Ghana,Guinea
Yes,61.90%,50.10%,79.90%,66.60%,50.60%
No,38.10%,49.90%,20.10%,33.40%,49.40%
