Source: ,"Babcock University, 2016",,,
,,,,
"This dataset contains information on citizen opinions on jungle justice and human rights in Lagos, Nigeria 2016.",,,,
,,,,
Response,Frequency,Percent (%),Valid Percent (%),Cumulative Percent (%)
Strongly Agree,150,76.9%,76.9%,76.9%
Agree,37,19.0%,19.0%,95.9%
Uncertain,6,3.1%,3.1%,99.0%
Disagree,2,1.0%,,
Total,185,100.0%,100.0%,100.0%
